0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:04 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:07 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:08 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:09 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:10 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:11 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:11 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:13 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:14 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:16 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_invalidate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:16 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:46:19 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:04:15 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_main.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:04:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:04:28 +0900] "GET /StudyJSP/jsp04_session/session_login_form.jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:04:45 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_main.jsp HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:04:45 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:04:54 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:05:46 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_join_form.jsp HTTP/1.1" 200 10872
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:06:53 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:07:25 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:07:43 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:34:24 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:34:29 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:37:05 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:37:12 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:38:59 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:05 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:08 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:21 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:47 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:47 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:48 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:48 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:50 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:39:50 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_main.jsp HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:48:13 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_main.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:48:43 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_main.jsp HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:48:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:48:50 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:48:52 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:12:48:52 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_main.jsp HTTP/1.1" 200 822
